Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
2.2,52.5,0,0.56,2.131,49.568,0.223,3.774,0.363,-6.871,1.622,1.382,[0.487 7.252],[0.084 0.433]
2.2,56.25,0,0.56,2.144,54.493,0.225,3.139,0.394,-6.307,1.745,1.245,[1.604 3.461],[0.722 0.982]
2.2,60.0,0,0.33,2.112,57.71,0.226,2.755,0.405,-5.974,1.785,1.128,[0.771 4.729],[0.31  1.128]
2.2,63.75,0,0.39,2.103,61.607,0.231,2.306,0.428,-5.406,1.85,1.0,[0.717 4.86 ],[0.135 0.885]
2.2,67.5,0,0.22,2.122,65.706,0.232,1.905,0.449,-5.569,1.934,0.873,[1.078 9.175],[0.276 1.393]
2.2,71.25,0,0.0,,,,,,,,,[1.74  3.518],[0.14  0.645]
2.2,75.0,0,0.0,,,,,,,,,[1.426 7.396],[0.719 0.452]
2.2,78.75,0,0.0,,,,,,,,,[2.071 5.896],[1.15  1.219]
2.2,82.5,0,0.0,,,,,,,,,[1.338 4.03 ],[0.774 1.052]
2.2,86.25,0,0.0,,,,,,,,,[2.271 6.627],[0.247 1.179]
2.2,90.0,0,0.0,,,,,,,,,[2.208 2.871],[0.435 2.829]
2.3,30.0,0,0.56,2.286,26.587,0.223,8.854,0.23,-8.03,1.023,2.044,[1.687 6.36 ],[0.277 0.889]
2.3,33.75,0,0.72,2.281,30.184,0.226,7.569,0.259,-7.684,1.147,1.972,[1.894 4.475],[0.107 0.94 ]
2.3,37.5,0,0.89,2.264,34.237,0.224,6.491,0.287,-7.747,1.274,1.872,[1.526 5.457],[0.137 1.079]
2.3,41.25,0,0.89,2.251,38.071,0.224,5.637,0.312,-7.598,1.388,1.772,[1.617 3.515],[0.717 0.821]
2.3,45.0,0,1.0,2.274,42.397,0.225,4.779,0.347,-7.264,1.533,1.679,[1.941 7.452],[0.115 4.409]
2.3,48.75,0,0.61,2.235,45.87,0.222,4.319,0.357,-7.249,1.604,1.556,[2.018 4.296],[0.092 0.151]
2.3,52.5,0,0.61,2.242,49.795,0.224,3.709,0.385,-6.865,1.712,1.447,[1.585 9.084],[0.096 0.707]
2.3,56.25,0,0.56,2.236,54.263,0.228,3.11,0.416,-6.102,1.815,1.306,[3.234 4.844],[2.085 0.771]
