Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
2.3,90,144,0.5,0.35,2.18,90.12,0.245,-0.0003,0.5328,-7.8427,2.1775,-0.0045,[5.159 7.204],[0.734 2.313]
2.4,30,145,0.55,0,2.12,25.08,0.2118,-8.3758,0.2077,-7.7363,0.8972,1.9169,[4.041 5.075],[1.871 1.984]
2.4,33.75,146,0.9,0,2.33,29.24,0.2281,-7.8388,0.2592,-7.8756,1.1383,2.0333,[4.23 2.38],[1.415 2.672]
2.4,37.5,147,0.95,0,2.31,32.74,0.2265,-6.8571,0.2829,-7.8682,1.2506,1.9451,[4.807 3.824],[0.859 1.998]
2.4,41.25,148,0.85,0,2.32,36.81,0.2274,-5.8352,0.3168,-7.8986,1.3895,1.8568,[4.295 5.782],[0.992 0.965]
2.4,45,149,0.55,0,2.31,40.53,0.2294,-5.0481,0.3453,-7.9112,1.501,1.7555,[4.255 4.707],[1.068 1.653]
2.4,48.75,150,0.85,0,2.29,44.55,0.2308,-4.3402,0.3729,-7.9221,1.6073,1.6329,[4.611 6.272],[0.721 1.298]
2.4,52.5,151,0.85,0,2.30,48.98,0.2345,-3.6512,0.4095,-7.9068,1.7385,1.5123,[3.949 4.991],[1.633 0.692]
2.4,56.25,152,0.7,0.05,2.28,52.45,0.237,-3.1708,0.4316,-7.9317,1.8096,1.3909,[3.07  5.705],[2.158 1.643]
2.4,60,153,0.9,0,2.30,57.31,0.2398,-2.6099,0.467,-7.9462,1.9387,1.244,[4.896 4.496],[0.766 2.352]
2.4,63.75,154,0.8,0.05,2.29,61.24,0.2412,-2.221,0.486,-7.9663,2.0059,1.1009,[4.493 4.401],[1.317 0.767]
2.4,67.5,155,0.7,0.25,2.29,65.59,0.2439,-1.8161,0.5098,-7.9458,2.0858,0.9466,[3.626 5.452],[1.617 0.46 ]
2.4,71.25,156,0.9,0.1,2.29,69.77,0.2459,-1.4665,0.5281,-7.9431,2.1475,0.7914,[5.015 4.059],[0.568 1.324]
2.4,75,157,0.55,0.25,2.29,73.82,0.2475,-1.1455,0.5445,-7.967,2.1972,0.6375,[5.342 5.654],[0.453 1.043]
2.4,78.75,158,0.4,0.55,2.30,78.16,0.2505,-0.8312,0.563,-7.9718,2.2508,0.472,[5.568 5.836],[0.716 1.66 ]
2.4,82.5,159,0.45,0.35,2.27,81.97,0.2518,-0.5528,0.564,-7.935,2.2437,0.3167,[4.472 3.499],[1.056 1.583]
2.4,86.25,160,0.3,0.5,2.30,86.16,0.2523,-0.268,0.5785,-7.9283,2.2923,0.154,[3.346 4.428],[2.288 0.593]
2.4,90,161,0.55,0.35,2.30,90.18,0.2502,0.0025,0.5736,-7.9017,2.2957,-0.0074,[4.81  4.334],[0.848 0.773]
2.5,30,162,0.6,0,2.46,24.24,0.2354,-9.4239,0.2368,-7.7325,1.0091,2.2407,[4.369 4.246],[0.644 0.82 ]
2.5,33.75,163,0.7,0,2.44,28.76,0.2305,-7.8789,0.271,-7.7942,1.1759,2.1429,[4.445 6.507],[1.246 2.307]
2.5,37.5,164,0.9,0,2.43,33.13,0.2279,-6.6917,0.3027,-7.8373,1.3281,2.0347,[4.379 5.05 ],[0.795 1.279]
2.5,41.25,165,0.8,0,2.42,36.83,0.2266,-5.8719,0.3286,-7.8602,1.4484,1.9342,[4.666 5.256],[0.852 1.132]
