Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.6,75.0,2,0.44,1.575,73.925,0.224,-1.246,0.34,-4.847,1.513,0.436,[2.287 4.84 ],[0.002 0.04 ]
1.6,78.75,0,0.56,1.558,78.149,0.224,-0.928,0.341,-5.251,1.525,0.32,[2.267 5.252],[0.015 0.049]
1.6,78.75,1,0.28,1.28,77.821,0.189,-0.781,0.284,-6.58,1.251,0.27,[2.328 6.565],[0.012 0.046]
1.6,78.75,2,0.5,1.561,77.905,0.222,-0.941,0.339,-5.576,1.526,0.327,[2.26  5.561],[0.02  0.043]
1.6,82.5,0,0.0,1.562,81.865,0.211,-0.663,0.326,-8.979,1.546,0.221,[2.148 8.524],[0.  1.1]
1.6,82.5,1,0.0,1.529,81.992,0.211,-0.665,0.319,-7.025,1.514,0.213,[2.161 7.019],[0.008 0.012]
1.6,82.5,2,0.44,1.58,82.142,0.225,-0.6,0.353,-7.861,1.565,0.216,[2.298 7.862],[0.015 0.032]
1.6,86.25,0,0.0,1.487,85.681,0.202,-0.366,0.3,-6.987,1.483,0.112,[2.064 6.934],[0.002 0.088]
1.6,86.25,1,0.0,1.526,85.866,0.211,-0.34,0.32,-7.508,1.522,0.11,[2.157 7.566],[0.001 0.254]
1.6,86.25,2,0.22,1.554,85.977,0.226,-0.306,0.349,-7.718,1.55,0.109,[2.306 7.679],[0.001 0.14 ]
1.6,90.0,0,0.0,1.456,90.039,0.176,0.006,0.256,-5.463,1.456,-0.001,[1.823 5.171],[0.009 0.558]
1.6,90.0,1,0.06,1.499,90.076,0.22,0.005,0.329,-4.519,1.499,-0.002,[2.245 4.469],[0.016 0.187]
1.6,90.0,2,0.28,1.585,90.072,0.228,0.002,0.361,-6.4,1.585,-0.002,[2.334 6.178],[0.035 0.997]
1.7,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.812 7.04 ],[0.029 0.532]
1.7,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.063 7.752],[0.009 0.288]
1.7,30.0,2,0.33,1.727,27.752,0.218,-8.53,0.179,-8.462,0.804,1.528,[2.182 8.456],[0.026 0.026]
1.7,33.75,0,0.06,1.67,28.591,0.214,-8.586,0.17,-6.07,0.799,1.466,[2.21  6.048],[0.047 0.054]
