vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
2.5,1.0,9,,5.02,4.78,0.02,0.0,5.439416666666666,-2.01225,-4.779333333333334,-1.9780557395404095,0.19799999999997908,[0. 0.],[0. 0.],[4.36 3.54],[1.5 1.5]
2.5,1.5,7,,4.62,7.19,0.01,0.0,5.066541666666667,-2.811208333333333,-7.189375000000001,-3.4491432735943897,0.1858333333333538,[0. 0.],[0. 0.],[3.93 4.49],[1.5 1.5]
2.5,1.5,8,,5.01,5.0,0.0,0.01,5.468875,-3.0334583333333334,-4.993833333333334,-2.0611052622038235,0.19216666666667,[0. 0.],[0. 0.],[6.15 4.68],[1.5 1.5]
2.5,1.5,9,,4.54,5.0,0.0,0.0,5.046208333333333,-2.7997916666666662,-4.997041666666667,-2.260833541415368,0.2136666666666649,[0. 0.],[0. 0.],[2.46 2.98],[1.5 1.5]
2.5,1.75,9,0.695652186870575,4.95,6.69,0.04,0.02,5.416916666666666,-3.487166666666667,-6.686708333333333,-128.39938648966685,0.187416666666667,[0. 0.],[0. 0.],[2.64 6.86],[1.5 1.5]
2.75,0.0,8,0.5,4.23,4.67,0.01,0.0,4.574083333333333,0.0013750000000000001,-4.669791666666666,-37.13528053023995,0.26200000000000045,[0. 0.],[0. 0.],[2.95 1.8 ],[1.5 1.5]
2.75,0.25,7,,4.48,2.06,0.0,0.01,4.957208333333333,-0.4306666666666667,-2.0602916666666666,-1.0652736493418333,0.2850000000000037,[0. 0.],[0. 0.],[3.17 1.67],[1.5 1.5]
2.75,0.25,8,,5.71,7.23,0.0,0.01,6.345125,-0.5529583333333333,-7.222125000000001,-0.9477060034393933,0.14824999999999497,[0. 0.],[0. 0.],[5.06 4.58],[1.5 1.5]
2.75,0.25,9,,8.3,6.32,0.0,0.0,10.00325,-0.8662916666666667,-6.320291666666667,-0.5889559886225153,0.09416666666666629,[0. 0.],[0. 0.],[6.89 4.98],[1.5 1.5]
2.75,0.5,7,0.625,4.75,6.04,0.0,0.01,5.0529166666666665,-0.8497499999999999,-6.039124999999999,-118.46241660942796,0.20774999999999663,[0. 0.],[0. 0.],[2.9  6.06],[1.5 1.5]
2.75,0.5,8,,12.57,7.41,3.75,0.0,16.82283333333333,-2.8526666666666665,-7.413499999999999,-1.2063880906718147,0.07449999999998624,[0. 0.],[0. 0.],[6.27 6.48],[1.5 1.5]
2.75,0.5,9,,4.76,6.46,0.01,0.01,5.1749583333333335,-0.8852500000000001,-6.449958333333334,-2.524112283160124,0.19299999999999784,[0. 0.],[0. 0.],[4.51 1.98],[1.5 1.5]
2.75,0.75,7,0.5909090638160706,4.77,5.14,0.07,0.25,5.1875,-1.3091666666666668,-5.175791666666667,-123.2518224055935,0.2087500000000001,[0. 0.],[0. 0.],[3.77 6.09],[1.5 1.5]
2.75,0.75,9,,5.96,6.48,0.04,0.01,6.660958333333333,-1.6968333333333334,-6.482625,-1.556504772557096,0.14833333333335,[0. 0.],[0. 0.],[2.9  6.15],[1.5 1.5]
2.75,1.25,7,0.0,4.78,5.42,0.01,0.0,5.2536249999999995,-2.2113750000000003,-5.416916666666666,-91.31561933928803,0.18766666666666598,[0. 0.],[0. 0.],[5.67 4.88],[1.5 1.5]
2.75,1.25,9,,6.18,7.29,0.0,0.0,6.726166666666667,-2.8460416666666664,-7.292375,-1.9831189203543629,0.14383333333334272,[0. 0.],[0. 0.],[6.52 5.55],[1.5 1.5]
2.75,1.5,7,0.0,7.37,7.3,0.04,0.07,8.683416666666666,-4.4057916666666666,-7.334083333333335,-1.2776242927962371,0.10700000000000405,[0. 0.],[0. 0.],[5.56 1.77],[1.5 1.5]
2.75,1.5,8,,5.0,7.47,0.0,0.01,5.502291666666667,-2.8000833333333333,-7.4760833333333325,-0.6880093930417349,0.17666666666666705,[0. 0.],[0. 0.],[1.5  5.31],[1.5 1.5]
2.75,1.5,9,,4.6,3.85,0.0,0.0,4.971166666666666,-2.527791666666667,-3.8501666666666665,-2.2638644754482278,0.23016666666666907,[0. 0.],[0. 0.],[5.86 4.21],[1.5 1.5]
2.75,1.75,7,0.0,6.19,7.39,0.01,0.0,6.999083333333334,-4.1446250000000004,-7.390249999999999,-1.9869554688815694,0.13958333333332482,[0. 0.],[0. 0.],[6.42 5.08],[1.5 1.5]
2.75,1.75,8,0.0,6.94,7.37,0.02,0.04,7.81975,-4.629166666666666,-7.3380833333333335,-1.3649479243358105,0.12050000000000693,[0. 0.],[0. 0.],[2.16 6.09],[1.5 1.5]
