t,thrust_input,thrust_actual
24.4,5.3,5.3
24.43,5.3,5.3
24.471,5.3,5.3
24.479,5.3,5.3
24.521,5.3,5.3
24.539,5.3,5.3
24.58,5.3,5.3
24.599,5.3,5.3
24.621,5.3,5.3
24.639,5.3,5.3
24.659,5.3,5.3
24.671,5.3,5.3
24.69,5.3,5.3
24.709,5.3,5.3
24.739,5.3,5.3
24.747,5.3,5.3
24.78,5.3,5.3
24.79,5.3,5.3
24.829,5.3,5.3
24.85,5.3,5.3
24.87,5.3,5.3
24.91,5.3,5.3
24.929,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,12.0,5.433
24.96,12.0,5.563
24.97,12.0,5.815
24.97,12.0,5.938
24.97,12.0,6.058
24.989,12.0,6.175
25.01,12.0,8.096
25.01,12.0,8.249
25.049,12.0,9.276
25.06,12.0,11.056
25.09,12.0,11.163
25.109,12.0,11.601
25.129,12.0,11.609
25.149,12.0,11.809
25.16,12.0,11.824
25.171,12.0,11.856
25.199,12.0,11.884
25.22,12.0,11.95
25.25,12.0,11.969
25.259,12.0,11.973
25.299,12.0,11.987
25.33,12.0,11.993
25.34,12.0,11.994
25.349,12.0,11.996
25.37,12.0,11.997
25.4,12.0,11.998
25.439,12.0,11.999
25.45,12.0,12.0
25.471,12.0,12.0
25.499,12.0,12.0
25.521,12.0,12.0
25.529,12.0,12.0
25.55,12.0,12.0
25.56,12.0,12.0
25.589,12.0,12.0
25.599,12.0,12.0
25.609,12.0,12.0
25.639,12.0,12.0
25.66,12.0,12.0
25.679,12.0,12.0
25.679,12.0,12.0
25.699,12.0,12.0
25.74,12.0,12.0
25.75,12.0,12.0
25.771,12.0,12.0
25.81,12.0,12.0
25.839,12.0,12.0
25.859,12.0,12.0
25.89,12.0,12.0
25.899,12.0,12.0
25.922,12.0,12.0
25.94,12.0,12.0
25.96,12.0,12.0
25.96,12.0,12.0
25.99,12.0,12.0
25.999,12.0,12.0
26.01,12.0,12.0
26.03,12.0,12.0
26.059,12.0,12.0
26.079,12.0,12.0
26.11,12.0,12.0
26.14,12.0,12.0
26.16,12.0,12.0
26.18,12.0,12.0
26.189,12.0,12.0
26.2,12.0,12.0
26.229,12.0,12.0
26.26,12.0,12.0
26.3,12.0,12.0
26.32,12.0,12.0
26.339,12.0,12.0
26.349,12.0,12.0
26.389,12.0,12.0
26.4,12.0,12.0
26.43,12.0,12.0
26.449,12.0,12.0
26.46,12.0,12.0
26.471,12.0,12.0
26.479,12.0,12.0
26.509,12.0,12.0
26.53,12.0,12.0
26.577,12.0,12.0
26.6,12.0,12.0
26.621,12.0,12.0
26.64,12.0,12.0
26.671,12.0,12.0
26.689,12.0,12.0
26.722,12.0,12.0
26.739,12.0,12.0
26.749,12.0,12.0
26.771,12.0,12.0
26.789,12.0,12.0
26.83,12.0,12.0
26.859,12.0,12.0
26.88,12.0,12.0
26.91,12.0,12.0
26.93,12.0,12.0
26.93,12.0,12.0
26.96,12.0,12.0
26.99,12.0,12.0
27.022,12.0,12.0
27.029,12.0,12.0
27.049,12.0,12.0
27.071,12.0,12.0
27.088,12.0,12.0
27.121,12.0,12.0
27.149,12.0,12.0
27.179,12.0,12.0
27.21,12.0,12.0
27.259,12.0,12.0
27.271,12.0,12.0
27.289,12.0,12.0
27.3,12.0,12.0
27.309,12.0,12.0
27.349,12.0,12.0
27.389,12.0,12.0
27.389,12.0,12.0
27.421,12.0,12.0
27.439,12.0,12.0
27.479,12.0,12.0
27.509,12.0,12.0
27.529,12.0,12.0
27.559,12.0,12.0
27.589,12.0,12.0
27.599,12.0,12.0
27.61,12.0,12.0
27.629,12.0,12.0
27.649,12.0,12.0
27.68,12.0,12.0
27.709,12.0,12.0
27.73,12.0,12.0
27.759,12.0,12.0
27.79,12.0,12.0
27.809,12.0,12.0
27.829,12.0,12.0
27.849,12.0,12.0
27.849,12.0,12.0
27.871,12.0,12.0
27.889,12.0,12.0
27.909,12.0,12.0
27.949,12.0,12.0
27.971,12.0,12.0
27.99,12.0,12.0
28.0,12.0,12.0
28.04,12.0,12.0
28.079,12.0,12.0
28.13,12.0,12.0
28.159,12.0,12.0
28.17,12.0,12.0
28.22,12.0,12.0
28.239,12.0,12.0
28.26,12.0,12.0
28.279,12.0,12.0
28.299,12.0,12.0
28.329,12.0,12.0
28.329,12.0,12.0
28.329,12.0,12.0
28.359,12.0,12.0
28.389,12.0,12.0
28.41,12.0,12.0
28.429,12.0,12.0
28.459,12.0,12.0
28.479,12.0,12.0
28.499,12.0,12.0
28.509,12.0,12.0
28.521,12.0,12.0
28.549,12.0,12.0
28.549,12.0,12.0
28.59,12.0,12.0
28.609,12.0,12.0
28.62,12.0,12.0
28.63,12.0,12.0
28.649,12.0,12.0
28.679,12.0,12.0
28.699,12.0,12.0
28.721,12.0,12.0
28.74,12.0,12.0
28.759,12.0,12.0
28.79,12.0,12.0
28.81,12.0,12.0
28.86,12.0,12.0
28.879,12.0,12.0
28.9,12.0,12.0
28.921,12.0,12.0
28.94,12.0,12.0
28.949,12.0,12.0
28.989,12.0,12.0
28.999,12.0,12.0
28.999,12.0,12.0
29.007,12.0,12.0
29.007,12.0,12.0
29.03,12.0,12.0
29.039,12.0,12.0
29.07,12.0,12.0
29.1,12.0,12.0
29.12,12.0,12.0
29.138,12.0,12.0
29.149,12.0,12.0
29.17,12.0,12.0
29.2,12.0,12.0
29.21,12.0,12.0
29.23,12.0,12.0
29.24,12.0,12.0
29.259,12.0,12.0
29.28,12.0,12.0
29.299,12.0,12.0
29.34,12.0,12.0
29.359,12.0,12.0
29.389,12.0,12.0
29.421,12.0,12.0
29.449,12.0,12.0
29.47,12.0,12.0
29.49,12.0,12.0
29.521,12.0,12.0
29.549,12.0,12.0
29.589,12.0,12.0
29.629,12.0,12.0
29.639,12.0,12.0
29.649,12.0,12.0
29.679,12.0,12.0
29.689,12.0,12.0
29.71,12.0,12.0
29.71,12.0,12.0
29.739,12.0,12.0
29.749,12.0,12.0
29.759,12.0,12.0
29.799,12.0,12.0
29.829,12.0,12.0
29.85,12.0,12.0
29.871,12.0,12.0
29.899,12.0,12.0
29.899,12.0,12.0
29.921,12.0,12.0
29.94,12.0,12.0
29.95,12.0,12.0
29.95,0.0,11.92
29.95,0.0,11.841
29.95,0.0,11.762
29.95,0.0,11.684
29.959,0.0,11.607
29.959,0.0,11.529
29.959,0.0,11.453
29.959,0.0,11.377
29.959,0.0,11.301
29.959,0.0,11.226
29.959,0.0,11.151
29.959,0.0,11.077
29.959,0.0,11.004
29.959,0.0,10.931
29.959,0.0,10.858
29.959,0.0,10.786
29.971,0.0,10.643
29.971,0.0,10.572
29.971,0.0,10.502
29.971,0.0,10.432
29.971,0.0,10.363
29.971,0.0,10.294
29.971,0.0,10.226
29.98,0.0,10.158
29.98,0.0,10.023
29.98,0.0,9.957
29.98,0.0,9.89
29.98,0.0,9.825
29.98,0.0,9.759
29.98,0.0,9.695
29.98,0.0,9.63
29.989,0.0,9.566
29.989,0.0,9.44
29.989,0.0,9.377
29.989,0.0,9.315
29.989,0.0,9.191
29.989,0.0,9.13
29.989,0.0,9.069
29.989,0.0,9.009
29.989,0.0,8.949
30.0,0.0,8.89
30.0,0.0,8.772
30.0,0.0,8.714
30.0,0.0,8.598
30.0,0.0,8.541
30.0,0.0,8.484
30.0,0.0,8.428
30.0,0.0,8.372
30.009,0.0,8.316
30.009,0.0,8.261
30.009,0.0,8.152
30.009,0.0,8.098
30.009,0.0,8.044
30.009,0.0,7.99
30.009,0.0,7.937
30.009,0.0,7.832
30.009,0.0,7.78
30.009,0.0,7.728
30.021,0.0,7.677
30.021,0.0,7.626
30.021,0.0,7.575
30.021,0.0,7.525
30.021,0.0,7.475
30.021,0.0,7.425
30.021,0.0,7.376
30.03,0.0,7.327
30.03,0.0,7.134
30.03,0.0,7.087
30.03,0.0,7.04
