# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.45,-7.00,1.00,1.00
3.00,90.00,0.45,-7.00,1.00,2.00
3.00,90.00,0.45,-7.25,1.00,0.00
3.00,90.00,0.45,-7.25,1.00,1.00
3.00,90.00,0.45,-7.25,1.00,2.00
3.00,90.00,0.45,-7.50,1.00,0.00
3.00,90.00,0.45,-7.50,1.00,1.00
3.00,90.00,0.45,-7.50,1.00,2.00
3.00,90.00,0.45,-7.75,1.00,0.00
3.00,90.00,0.45,-7.75,1.00,1.00
3.00,90.00,0.45,-7.75,1.00,2.00
3.00,90.00,0.45,-8.00,1.00,0.00
3.00,90.00,0.45,-8.00,1.00,1.00
3.00,90.00,0.45,-8.00,1.00,2.00
3.00,90.00,0.45,-8.25,1.00,0.00
3.00,90.00,0.45,-8.25,1.00,1.00
3.00,90.00,0.45,-8.25,1.00,2.00
3.00,90.00,0.45,-8.50,1.00,0.00
3.00,90.00,0.45,-8.50,1.00,1.00
3.00,90.00,0.45,-8.50,1.00,2.00
3.00,90.00,0.45,-8.75,1.00,0.00
3.00,90.00,0.45,-8.75,1.00,1.00
3.00,90.00,0.45,-8.75,1.00,2.00
3.00,90.00,0.45,-9.00,1.00,0.00
3.00,90.00,0.45,-9.00,1.00,1.00
3.00,90.00,0.45,-9.00,1.00,2.00
3.00,90.00,0.45,-9.25,1.00,0.00
3.00,90.00,0.45,-9.25,1.00,1.00
3.00,90.00,0.45,-9.25,1.00,2.00
3.00,90.00,0.45,-9.50,1.00,0.00
3.00,90.00,0.45,-9.50,1.00,1.00
3.00,90.00,0.45,-9.50,1.00,2.00
3.00,90.00,0.45,-9.75,1.00,0.00
3.00,90.00,0.45,-9.75,1.00,1.00
3.00,90.00,0.45,-9.75,1.00,2.00
3.00,90.00,0.40,-3.00,1.00,0.00
3.00,90.00,0.40,-3.00,1.00,1.00
3.00,90.00,0.40,-3.00,1.00,2.00
3.00,90.00,0.40,-3.25,1.00,0.00
3.00,90.00,0.40,-3.25,1.00,1.00
3.00,90.00,0.40,-3.25,1.00,2.00
3.00,90.00,0.40,-3.50,1.00,0.00
3.00,90.00,0.40,-3.50,1.00,1.00
3.00,90.00,0.40,-3.50,1.00,2.00
3.00,90.00,0.40,-3.75,1.00,0.00
3.00,90.00,0.40,-3.75,1.00,1.00
3.00,90.00,0.40,-3.75,1.00,2.00
3.00,90.00,0.40,-4.00,1.00,0.00
3.00,90.00,0.40,-4.00,1.00,1.00
3.00,90.00,0.40,-4.00,1.00,2.00
3.00,90.00,0.40,-4.25,1.00,0.00
3.00,90.00,0.40,-4.25,1.00,1.00
3.00,90.00,0.40,-4.25,1.00,2.00
3.00,90.00,0.40,-4.50,1.00,0.00
3.00,90.00,0.40,-4.50,1.00,1.00
3.00,90.00,0.40,-4.50,1.00,2.00
3.00,90.00,0.40,-4.75,1.00,0.00
3.00,90.00,0.40,-4.75,1.00,1.00
3.00,90.00,0.40,-4.75,1.00,2.00
3.00,90.00,0.40,-5.00,1.00,0.00
3.00,90.00,0.40,-5.00,1.00,1.00
3.00,90.00,0.40,-5.00,1.00,2.00
3.00,90.00,0.40,-5.25,1.00,0.00
3.00,90.00,0.40,-5.25,1.00,1.00
3.00,90.00,0.40,-5.25,1.00,2.00
3.00,90.00,0.40,-5.50,1.00,0.00
3.00,90.00,0.40,-5.50,1.00,1.00
3.00,90.00,0.40,-5.50,1.00,2.00
3.00,90.00,0.40,-5.75,1.00,0.00
3.00,90.00,0.40,-5.75,1.00,1.00
3.00,90.00,0.40,-5.75,1.00,2.00
3.00,90.00,0.40,-6.00,1.00,0.00
3.00,90.00,0.40,-6.00,1.00,1.00
3.00,90.00,0.40,-6.00,1.00,2.00
3.00,90.00,0.40,-6.25,1.00,0.00
3.00,90.00,0.40,-6.25,1.00,1.00
3.00,90.00,0.40,-6.25,1.00,2.00
3.00,90.00,0.40,-6.50,1.00,0.00
3.00,90.00,0.40,-6.50,1.00,1.00
3.00,90.00,0.40,-6.50,1.00,2.00
3.00,90.00,0.40,-6.75,1.00,0.00
3.00,90.00,0.40,-6.75,1.00,1.00
3.00,90.00,0.40,-6.75,1.00,2.00
3.00,90.00,0.40,-7.00,1.00,0.00
3.00,90.00,0.40,-7.00,1.00,1.00
3.00,90.00,0.40,-7.00,1.00,2.00
3.00,90.00,0.40,-7.25,1.00,0.00
3.00,90.00,0.40,-7.25,1.00,1.00
3.00,90.00,0.40,-7.25,1.00,2.00
3.00,90.00,0.40,-7.50,1.00,0.00
3.00,90.00,0.40,-7.50,1.00,1.00
3.00,90.00,0.40,-7.50,1.00,2.00
3.00,90.00,0.40,-7.75,1.00,0.00
3.00,90.00,0.40,-7.75,1.00,1.00
3.00,90.00,0.40,-7.75,1.00,2.00
3.00,90.00,0.40,-8.00,1.00,0.00
3.00,90.00,0.40,-8.00,1.00,1.00
3.00,90.00,0.40,-8.00,1.00,2.00
3.00,90.00,0.40,-8.25,1.00,0.00
3.00,90.00,0.40,-8.25,1.00,1.00
3.00,90.00,0.40,-8.25,1.00,2.00
3.00,90.00,0.40,-8.50,1.00,0.00
3.00,90.00,0.40,-8.50,1.00,1.00
3.00,90.00,0.40,-8.50,1.00,2.00
3.00,90.00,0.40,-8.75,1.00,0.00
3.00,90.00,0.40,-8.75,1.00,1.00
3.00,90.00,0.40,-8.75,1.00,2.00
3.00,90.00,0.40,-9.00,1.00,0.00
3.00,90.00,0.40,-9.00,1.00,1.00
3.00,90.00,0.40,-9.00,1.00,2.00
3.00,90.00,0.40,-9.25,1.00,0.00
3.00,90.00,0.40,-9.25,1.00,1.00
3.00,90.00,0.40,-9.25,1.00,2.00
3.00,90.00,0.40,-9.50,1.00,0.00
3.00,90.00,0.40,-9.50,1.00,1.00
3.00,90.00,0.40,-9.50,1.00,2.00
3.00,90.00,0.40,-9.75,1.00,0.00
3.00,90.00,0.40,-9.75,1.00,1.00
3.00,90.00,0.40,-9.75,1.00,2.00
3.00,90.00,0.35,-3.00,1.00,0.00
3.00,90.00,0.35,-3.00,1.00,1.00
3.00,90.00,0.35,-3.00,1.00,2.00
3.00,90.00,0.35,-3.25,1.00,0.00
3.00,90.00,0.35,-3.25,1.00,1.00
3.00,90.00,0.35,-3.25,1.00,2.00
3.00,90.00,0.35,-3.50,1.00,0.00
3.00,90.00,0.35,-3.50,1.00,1.00
3.00,90.00,0.35,-3.50,1.00,2.00
3.00,90.00,0.35,-3.75,1.00,0.00
3.00,90.00,0.35,-3.75,1.00,1.00
3.00,90.00,0.35,-3.75,1.00,2.00
3.00,90.00,0.35,-4.00,1.00,0.00
3.00,90.00,0.35,-4.00,1.00,1.00
3.00,90.00,0.35,-4.00,1.00,2.00
3.00,90.00,0.35,-4.25,1.00,0.00
3.00,90.00,0.35,-4.25,1.00,1.00
3.00,90.00,0.35,-4.25,1.00,2.00
3.00,90.00,0.35,-4.50,1.00,0.00
3.00,90.00,0.35,-4.50,1.00,1.00
3.00,90.00,0.35,-4.50,1.00,2.00
3.00,90.00,0.35,-4.75,1.00,0.00
3.00,90.00,0.35,-4.75,1.00,1.00
3.00,90.00,0.35,-4.75,1.00,2.00
3.00,90.00,0.35,-5.00,1.00,0.00
3.00,90.00,0.35,-5.00,1.00,1.00
3.00,90.00,0.35,-5.00,1.00,2.00
3.00,90.00,0.35,-5.25,1.00,0.00
3.00,90.00,0.35,-5.25,1.00,1.00
3.00,90.00,0.35,-5.25,1.00,2.00
3.00,90.00,0.35,-5.50,1.00,0.00
3.00,90.00,0.35,-5.50,1.00,1.00
3.00,90.00,0.35,-5.50,1.00,2.00
3.00,90.00,0.35,-5.75,1.00,0.00
3.00,90.00,0.35,-5.75,1.00,1.00
3.00,90.00,0.35,-5.75,1.00,2.00
3.00,90.00,0.35,-6.00,1.00,0.00
3.00,90.00,0.35,-6.00,1.00,1.00
3.00,90.00,0.35,-6.00,1.00,2.00
3.00,90.00,0.35,-6.25,1.00,0.00
3.00,90.00,0.35,-6.25,1.00,1.00
3.00,90.00,0.35,-6.25,1.00,2.00
3.00,90.00,0.35,-6.50,1.00,0.00
3.00,90.00,0.35,-6.50,1.00,1.00
3.00,90.00,0.35,-6.50,1.00,2.00
3.00,90.00,0.35,-6.75,1.00,0.00
3.00,90.00,0.35,-6.75,1.00,1.00
3.00,90.00,0.35,-6.75,1.00,2.00
3.00,90.00,0.35,-7.00,1.00,0.00
3.00,90.00,0.35,-7.00,1.00,1.00
3.00,90.00,0.35,-7.00,1.00,2.00
3.00,90.00,0.35,-7.25,1.00,0.00
3.00,90.00,0.35,-7.25,1.00,1.00
3.00,90.00,0.35,-7.25,1.00,2.00
3.00,90.00,0.35,-7.50,1.00,0.00
3.00,90.00,0.35,-7.50,1.00,1.00
3.00,90.00,0.35,-7.50,1.00,2.00
3.00,90.00,0.35,-7.75,1.00,0.00
3.00,90.00,0.35,-7.75,1.00,1.00
3.00,90.00,0.35,-7.75,1.00,2.00
3.00,90.00,0.35,-8.00,1.00,0.00
3.00,90.00,0.35,-8.00,1.00,1.00
3.00,90.00,0.35,-8.00,1.00,2.00
3.00,90.00,0.35,-8.25,1.00,0.00
3.00,90.00,0.35,-8.25,1.00,1.00
3.00,90.00,0.35,-8.25,1.00,2.00
3.00,90.00,0.35,-8.50,1.00,0.00
3.00,90.00,0.35,-8.50,1.00,1.00
3.00,90.00,0.35,-8.50,1.00,2.00
3.00,90.00,0.35,-8.75,1.00,0.00
3.00,90.00,0.35,-8.75,1.00,1.00
3.00,90.00,0.35,-8.75,1.00,2.00
3.00,90.00,0.35,-9.00,1.00,0.00
3.00,90.00,0.35,-9.00,1.00,1.00
3.00,90.00,0.35,-9.00,1.00,2.00
3.00,90.00,0.35,-9.25,1.00,0.00
3.00,90.00,0.35,-9.25,1.00,1.00
3.00,90.00,0.35,-9.25,1.00,2.00
3.00,90.00,0.35,-9.50,1.00,0.00
3.00,90.00,0.35,-9.50,1.00,1.00
3.00,90.00,0.35,-9.50,1.00,2.00
3.00,90.00,0.35,-9.75,1.00,0.00
3.00,90.00,0.35,-9.75,1.00,1.00
3.00,90.00,0.35,-9.75,1.00,2.00
3.00,90.00,0.30,-3.00,1.00,0.00
3.00,90.00,0.30,-3.00,1.00,1.00
3.00,90.00,0.30,-3.00,1.00,2.00
