obs,actions,next_obs,dones
0.057410732;0.07473388;-0.102808245;-1.0,0.1507867;-0.8113855,0.05541073;0.07672006;-0.12012875;-1.0,False
0.05541073;0.07672006;-0.12012875;-1.0,-0.040416878;0.8244391,0.053410735;0.078814685;-0.13744926;-1.0,False
0.053410735;0.078814685;-0.13744926;-1.0,-0.11641148;0.27780613,0.051410735;0.0810269;-0.15476976;-1.0,False
0.051410735;0.0810269;-0.15476976;-1.0,-0.18656749;-0.6274963,0.049410734;0.083366886;-0.17209028;-1.0,False
0.049410734;0.083366886;-0.17209028;-1.0,-0.022468684;-0.8931577,0.047410738;0.085846044;-0.18941079;-1.0,False
0.047410738;0.085846044;-0.18941079;-1.0,-0.12242576;-0.8485753,0.045410737;0.08847717;-0.20673129;-1.0,False
0.045410737;0.08847717;-0.20673129;-1.0,0.7252154;-1.0,0.045410737;0.08847717;-0.20673129;-1.0,True
0.1043192;0.046499517;0.30343118;-1.0,0.10725505;-0.29287162,0.1023192;0.04726079;0.28611067;-1.0,False
0.1023192;0.04726079;0.28611067;-1.0,-0.19154188;-0.87560254,0.1003192;0.048047405;0.26879016;-1.0,False
0.1003192;0.048047405;0.26879016;-1.0,-0.014447476;0.19065124,0.0983192;0.048860647;0.25146964;-1.0,False
0.0983192;0.048860647;0.25146964;-1.0,-0.092558295;0.918952,0.096319206;0.04970189;0.23414914;-1.0,False
0.096319206;0.04970189;0.23414914;-1.0,-0.05617706;-0.18364744,0.0943192;0.05057261;0.21682864;-1.0,False
0.0943192;0.05057261;0.21682864;-1.0,-0.10771689;-0.110030554,0.092319205;0.051474385;0.19950813;-1.0,False
0.092319205;0.051474385;0.19950813;-1.0,-0.097599186;0.5126882,0.09031921;0.0524089;0.18218762;-1.0,False
0.09031921;0.0524089;0.18218762;-1.0,0.02327997;-0.99474823,0.088319205;0.053377975;0.16486712;-1.0,False
0.088319205;0.053377975;0.16486712;-1.0,0.1351549;-0.8677742,0.08631921;0.054383565;0.1475466;-1.0,False
0.08631921;0.054383565;0.1475466;-1.0,0.09067481;0.7062301,0.08431921;0.05542777;0.1302261;-1.0,False
0.08431921;0.05542777;0.1302261;-1.0,-0.17735168;0.004575774,0.08231921;0.05651286;0.11290559;-1.0,False
0.08231921;0.05651286;0.11290559;-1.0,-0.07231898;-0.03511884,0.08031921;0.05764128;0.095585085;-1.0,False
0.08031921;0.05764128;0.095585085;-1.0,0.09441684;-0.5654706,0.078319214;0.058815684;0.07826457;-1.0,False
0.078319214;0.058815684;0.07826457;-1.0,-0.21250536;-0.21703325,0.07631921;0.06003894;0.060944065;-1.0,False
0.07631921;0.06003894;0.060944065;-1.0,-0.15353163;-0.75924194,0.07431921;0.06131416;0.04362356;-1.0,False
0.07431921;0.06131416;0.04362356;-1.0,0.03448295;-0.6988689,0.07231922;0.06264472;0.026303051;-1.0,False
0.07231922;0.06264472;0.026303051;-1.0,0.13889396;0.5382605,0.07031921;0.06403431;0.008982542;-1.0,False
0.07031921;0.06403431;0.008982542;-1.0,0.08750779;-0.42302367,0.06831922;0.06548695;-0.008337966;-1.0,False
0.06831922;0.06548695;-0.008337966;-1.0,0.10179801;-0.99940616,0.06631922;0.067007035;-0.025658473;-1.0,False
0.06631922;0.067007035;-0.025658473;-1.0,-0.20229289;-0.57007897,0.064319216;0.06859936;-0.042978983;-1.0,False
0.064319216;0.06859936;-0.042978983;-1.0,-0.04719757;-0.79454654,0.06231922;0.0702692;-0.06029949;-1.0,False
0.06231922;0.0702692;-0.06029949;-1.0,0.056165103;0.9474463,0.06031922;0.07202236;-0.07762;-1.0,False
0.06031922;0.07202236;-0.07762;-1.0,-0.0022053933;-0.8111559,0.05831922;0.07386525;-0.094940506;-1.0,False
0.05831922;0.07386525;-0.094940506;-1.0,0.17757261;0.24464822,0.05631922;0.07580492;-0.11226101;-1.0,False
0.05631922;0.07580492;-0.11226101;-1.0,0.13967611;-0.32423785,0.05431922;0.07784921;-0.12958153;-1.0,False
0.05431922;0.07784921;-0.12958153;-1.0,0.06615703;0.223195,0.05231922;0.080006815;-0.14690202;-1.0,False
