obs,actions,next_obs,rewards,dones
0.07003699;0.06423538;0.0065384363;-1.0,0.10598287;0.6650236,0.068036996;0.06569726;-0.010782071;-1.0,0.0,0
0.068036996;0.06569726;-0.010782071;-1.0,0.046208013;-0.3602948,0.06603699;0.06722723;-0.02810258;-1.0,0.0,0
0.06603699;0.06722723;-0.02810258;-1.0,0.00050658575;0.031493343,0.064036995;0.06883016;-0.045423087;-1.0,0.0,0
0.064036995;0.06883016;-0.045423087;-1.0,-0.18790571;0.5796321,0.062037;0.0705114;-0.0627436;-1.0,0.0,0
0.062037;0.0705114;-0.0627436;-1.0,0.002130953;-0.14278945,0.060037;0.07227682;-0.0800641;-1.0,0.0,0
0.060037;0.07227682;-0.0800641;-1.0,0.19940735;0.122055806,0.058036998;0.07413292;-0.09738461;-1.0,0.0,0
0.058036998;0.07413292;-0.09738461;-1.0,-0.0017103478;-0.15902819,0.056037;0.076086864;-0.11470512;-1.0,0.0,0
0.056037;0.076086864;-0.11470512;-1.0,0.11051216;0.46040267,0.054037;0.07814659;-0.13202563;-1.0,0.0,0
0.054037;0.07814659;-0.13202563;-1.0,-0.04680567;0.85602784,0.052037;0.08032094;-0.14934614;-1.0,0.0,0
0.052037;0.08032094;-0.14934614;-1.0,-0.044535972;0.31688538,0.050037004;0.08261975;-0.16666664;-1.0,0.0,0
0.050037004;0.08261975;-0.16666664;-1.0,0.015207851;0.036769427,0.048037004;0.085054025;-0.18398716;-1.0,0.0,0
0.048037004;0.085054025;-0.18398716;-1.0,0.7760693;-1.0,0.048037004;0.085054025;-0.18398716;-1.0,0.8631398978456923,1
0.09828343;0.04887544;0.25115988;-1.0,-0.16148679;-0.52413404,0.096283436;0.0497172;0.23383938;-1.0,0.0,0
0.096283436;0.0497172;0.23383938;-1.0,-0.07259824;-0.10734821,0.09428343;0.050588463;0.21651886;-1.0,0.0,0
0.09428343;0.050588463;0.21651886;-1.0,-0.22809683;0.32142383,0.092283435;0.051490806;0.19919837;-1.0,0.0,0
0.092283435;0.051490806;0.19919837;-1.0,0.019296402;0.48870993,0.09028344;0.052425925;0.18187785;-1.0,0.0,0
0.09028344;0.052425925;0.18187785;-1.0,-0.22595273;0.8365646,0.088283435;0.053395633;0.16455734;-1.0,0.0,0
0.088283435;0.053395633;0.16455734;-1.0,0.14095426;0.9320037,0.08628344;0.054401893;0.14723684;-1.0,0.0,0
0.08628344;0.054401893;0.14723684;-1.0,0.104840994;-0.4721841,0.08428344;0.05544681;0.12991633;-1.0,0.0,0
0.08428344;0.05544681;0.12991633;-1.0,-0.03885356;0.33736277,0.08228344;0.05653265;0.11259582;-1.0,0.0,0
0.08228344;0.05653265;0.11259582;-1.0,-0.23575702;-0.9817525,0.08028344;0.057661872;0.09527531;-1.0,0.0,0
0.08028344;0.057661872;0.09527531;-1.0,0.07062325;0.07114684,0.078283444;0.058837123;0.0779548;-1.0,0.0,0
0.078283444;0.058837123;0.0779548;-1.0,0.09879563;-0.37458852,0.07628344;0.06006128;0.060634293;-1.0,0.0,0
0.07628344;0.06006128;0.060634293;-1.0,-0.055132776;-0.09750466,0.07428344;0.061337456;0.043313786;-1.0,0.0,0
0.07428344;0.061337456;0.043313786;-1.0,0.08054345;0.14371403,0.07228345;0.062669046;0.025993278;-1.0,0.0,0
0.07228345;0.062669046;0.025993278;-1.0,0.15435082;-0.18340331,0.07028344;0.06405973;0.00867277;-1.0,0.0,0
0.07028344;0.06405973;0.00867277;-1.0,-0.13746102;0.20241745,0.068283446;0.06551354;-0.008647738;-1.0,0.0,0
0.068283446;0.06551354;-0.008647738;-1.0,-0.24020393;0.037277196,0.06628345;0.06703486;-0.025968246;-1.0,0.0,0
0.06628345;0.06703486;-0.025968246;-1.0,0.07343987;0.64290965,0.064283445;0.06862852;-0.043288752;-1.0,0.0,0
0.064283445;0.06862852;-0.043288752;-1.0,-0.077682875;-0.88268524,0.06228345;0.070299804;-0.060609262;-1.0,0.0,0
