obs,actions,next_obs,rewards,dones
0.06228345;0.070299804;-0.060609262;-1.0,-0.13727322;-0.07754149,0.06028345;0.07205451;-0.07792977;-1.0,0.0,0
0.06028345;0.07205451;-0.07792977;-1.0,-0.1541178;0.19922942,0.058283452;0.07389907;-0.09525028;-1.0,0.0,0
0.058283452;0.07389907;-0.09525028;-1.0,-0.24350907;-0.93333226,0.05628345;0.07584054;-0.112570785;-1.0,0.0,0
0.05628345;0.07584054;-0.112570785;-1.0,-0.21046166;-0.7082417,0.05428345;0.077886775;-0.12989129;-1.0,0.0,0
0.05428345;0.077886775;-0.12989129;-1.0,-0.23339462;0.2433361,0.052283455;0.08004649;-0.1472118;-1.0,0.0,0
0.052283455;0.08004649;-0.1472118;-1.0,-0.184443;-0.22300269,0.050283454;0.0823294;-0.1645323;-1.0,0.0,0
0.050283454;0.0823294;-0.1645323;-1.0,0.1868707;0.9130083,0.048283454;0.08474634;-0.18185282;-1.0,0.0,0
0.048283454;0.08474634;-0.18185282;-1.0,0.7396798;-1.0,0.048283454;0.08474634;-0.18185282;-1.0,0.8756709577546532,1
0.09899356;0.048583377;0.2573098;-1.0,0.15992546;-0.63470346,0.096993566;0.04941502;0.2399893;-1.0,0.0,0
0.096993566;0.04941502;0.2399893;-1.0,-0.2081774;0.51367205,0.09499357;0.05027563;0.2226688;-1.0,0.0,0
0.09499357;0.05027563;0.2226688;-1.0,-0.10916945;0.09799774,0.092993565;0.05116675;0.20534828;-1.0,0.0,0
0.092993565;0.05116675;0.20534828;-1.0,0.04771285;0.9572176,0.09099357;0.05209003;0.18802777;-1.0,0.0,0
0.09099357;0.05209003;0.18802777;-1.0,0.058175292;0.32096213,0.08899357;0.053047244;0.17070727;-1.0,0.0,0
0.08899357;0.053047244;0.17070727;-1.0,0.19394094;-0.113626294,0.08699357;0.05404029;0.15338676;-1.0,0.0,0
0.08699357;0.05404029;0.15338676;-1.0,-0.14706492;-0.40879333,0.08499357;0.05507123;0.13606626;-1.0,0.0,0
0.08499357;0.05507123;0.13606626;-1.0,-0.24263713;0.8628778,0.082993574;0.05614227;0.118745744;-1.0,0.0,0
0.082993574;0.05614227;0.118745744;-1.0,-0.12732409;0.43501362,0.08099357;0.057255797;0.10142524;-1.0,0.0,0
0.08099357;0.057255797;0.10142524;-1.0,-0.038552374;0.14512594,0.078993574;0.058414385;0.084104724;-1.0,0.0,0
0.078993574;0.058414385;0.084104724;-1.0,0.034105282;0.22023879,0.07699358;0.059620835;0.06678422;-1.0,0.0,0
0.07699358;0.059620835;0.06678422;-1.0,0.188847;-0.8063059,0.07499357;0.060878165;0.04946371;-1.0,0.0,0
0.07499357;0.060878165;0.04946371;-1.0,-0.21579821;0.59185076,0.07299358;0.062189672;0.0321432;-1.0,0.0,0
0.07299358;0.062189672;0.0321432;-1.0,-0.04711199;-0.073587984,0.07099358;0.06355893;0.0148226945;-1.0,0.0,0
0.07099358;0.06355893;0.0148226945;-1.0,-0.0020916362;-0.52326137,0.068993576;0.06498984;-0.002497814;-1.0,0.0,0
0.068993576;0.06498984;-0.002497814;-1.0,-0.1844999;-0.9194975,0.06699358;0.066486664;-0.019818323;-1.0,0.0,0
0.06699358;0.066486664;-0.019818323;-1.0,-0.015382364;0.40479687,0.06499358;0.068054065;-0.03713883;-1.0,0.0,0
