Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.7,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.095 5.318],[0.013 0.025]
1.7,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.3   2.082],[0.056 0.021]
1.7,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.39  3.425],[0.035 0.013]
1.7,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.475 5.572],[0.017 0.136]
1.7,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.096 5.026],[0.017 0.07 ]
1.7,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.787 8.987],[0.004 0.167]
1.7,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.998 5.745],[0.012 0.383]
1.7,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[0.919 4.477],[0.024 0.062]
1.7,45.0,0,0.0,1.635,41.951,0.172,-6.495,0.188,-5.424,1.093,1.216,[1.79  5.436],[0.033 0.043]
1.7,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.979 2.908],[0.015 0.014]
1.7,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.054 7.095],[0.003 0.03 ]
1.7,48.75,0,0.0,1.648,45.172,0.17,-5.946,0.197,-4.842,1.169,1.162,[1.759 4.835],[0.013 0.028]
1.7,48.75,1,0.0,1.687,45.889,0.185,-5.393,0.22,-4.48,1.211,1.174,[1.939 4.351],[0.027 0.153]
1.7,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.027 8.122],[0.038 0.019]
1.7,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.124 8.398],[0.007 0.044]
1.7,52.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.187 6.152],[0.004 0.097]
1.7,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.199 8.896],[0.001 0.343]
1.7,56.25,0,0.0,1.646,53.248,0.175,-4.39,0.228,-6.908,1.319,0.985,[1.83  6.902],[0.    0.026]
1.7,56.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.153 7.803],[0.007 0.234]
1.7,56.25,2,0.0,1.637,53.522,0.182,-4.123,0.238,-6.581,1.316,0.973,[1.874 7.296],[0.015 0.949]
1.7,60.0,0,0.0,1.612,57.848,0.184,-3.432,0.25,-8.008,1.365,0.858,[1.887 7.996],[0.009 0.081]
1.7,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.17  7.192],[0.005 0.025]
1.7,60.0,2,0.0,1.63,57.372,0.192,-3.36,0.263,-5.456,1.373,0.879,[1.972 5.455],[0.001 0.033]
1.7,63.75,0,0.0,1.63,61.737,0.205,-2.64,0.294,-8.226,1.436,0.772,[2.135 8.235],[0.036 0.032]
1.7,63.75,1,0.0,1.632,61.566,0.195,-2.812,0.278,-7.284,1.435,0.777,[1.986 7.187],[0.002 0.343]
1.7,63.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.137 8.485],[0.008 0.043]
1.7,67.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.008 4.082],[0.047 0.046]
1.7,67.5,1,0.0,1.612,65.136,0.191,-2.458,0.279,-7.959,1.463,0.678,[2.009 7.679],[0.    0.238]
1.7,67.5,2,0.0,1.634,65.632,0.205,-2.229,0.304,-3.482,1.488,0.674,[2.1   3.476],[0.037 0.009]
1.7,71.25,0,0.0,1.609,69.369,0.178,-2.149,0.267,-7.245,1.506,0.567,[1.852 7.241],[0.012 0.04 ]
1.7,71.25,1,0.44,1.706,70.482,0.226,-1.554,0.363,-5.408,1.608,0.57,[2.3   5.389],[0.011 0.04 ]
1.7,71.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.24  7.183],[0.003 0.049]
1.7,75.0,0,0.0,1.616,74.123,0.209,-1.363,0.324,-7.917,1.554,0.442,[2.173 7.972],[0.014 0.06 ]
1.7,75.0,1,0.0,1.62,73.646,0.209,-1.419,0.324,-6.692,1.554,0.456,[2.201 6.69 ],[0.003 0.048]
1.7,75.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.139 8.809],[0.031 0.125]
1.7,78.75,0,0.0,1.585,77.209,0.21,-1.085,0.325,-6.693,1.546,0.351,[2.227 6.679],[0.028 0.015]
1.7,78.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.177 9.114],[0.01  0.208]
1.7,78.75,2,0.0,1.631,77.464,0.22,-1.012,0.35,-3.709,1.592,0.354,[2.236 3.699],[0.031 0.039]
1.7,82.5,0,0.0,1.737,82.556,0.221,-0.588,0.38,-5.07,1.722,0.225,[2.28  5.663],[0.004 0.307]
1.7,82.5,1,0.0,1.61,81.86,0.216,-0.666,0.344,-4.546,1.594,0.228,[2.17  4.532],[0.004 0.025]
1.7,82.5,2,0.0,1.6,81.662,0.128,-1.166,0.202,-6.521,1.583,0.232,[1.323 6.512],[0.047 0.046]
1.7,86.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.082 9.181],[0.005 0.202]
1.7,86.25,1,0.0,1.62,86.071,0.211,-0.321,0.342,-6.114,1.616,0.111,[2.174 6.174],[0.014 0.417]
1.7,86.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.12  9.537],[0.01  0.154]
1.7,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.991 4.179],[0.011 0.048]
1.7,90.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.725 9.341],[0.043 0.078]
1.7,90.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.181 8.557],[0.001 0.14 ]
1.8,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.784 9.137],[0.001 0.087]
1.8,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[0.954 5.368],[0.04  0.011]
1.8,30.0,2,0.28,1.826,26.902,0.226,-8.937,0.182,-9.562,0.826,1.628,[2.277 9.565],[0.001 0.134]
1.8,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.615 4.185],[0.026 0.049]
1.8,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.756 8.43 ],[0.001 0.209]
1.8,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.015 7.462],[0.009 0.034]
1.8,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.855 7.626],[0.001 0.31 ]
1.8,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.151 8.378],[0.007 0.32 ]
1.8,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.851 5.006],[0.069 0.089]
1.8,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.866 9.479],[0.001 0.39 ]
1.8,41.25,1,0.06,1.894,40.568,0.201,-5.662,0.25,-8.447,1.232,1.439,[1.981 8.436],[0.111 0.015]
1.8,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.131 6.864],[0.026 0.573]
1.8,45.0,0,0.0,1.76,40.898,0.174,-6.76,0.198,-8.164,1.152,1.33,[1.848 8.143],[0.03  0.033]
1.8,45.0,1,0.0,1.724,41.967,0.17,-6.589,0.194,-4.988,1.153,1.282,[1.797 4.991],[0.055 0.006]
1.8,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.184 6.783],[0.024 0.057]
1.8,48.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.88  6.388],[0.006 0.182]
1.8,48.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.168 9.402],[0.012 0.106]
1.8,48.75,2,0.0,1.749,45.556,0.169,-5.892,0.209,-7.747,1.249,1.225,[1.742 7.743],[0.008 0.043]
1.8,52.5,0,0.0,1.74,49.242,0.17,-5.152,0.222,-4.489,1.318,1.136,[1.76  4.403],[0.   0.16]
1.8,52.5,1,0.06,1.865,52.583,0.214,-3.509,0.318,-8.685,1.481,1.133,[2.143 8.718],[0.006 0.033]
1.8,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.18  5.843],[0.01  0.148]
1.8,56.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.152 9.136],[0.011 0.042]
1.8,56.25,1,0.0,1.766,52.916,0.183,-4.257,0.254,-8.753,1.409,1.065,[1.876 8.75 ],[0.009 0.085]
1.8,56.25,2,0.11,1.839,56.016,0.212,-3.16,0.323,-8.414,1.525,1.028,[2.172 8.431],[0.034 0.085]
1.8,60.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.165 8.518],[0.001 0.286]
1.8,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.177 5.356],[0.001 0.012]
1.8,60.0,2,0.0,1.751,57.599,0.209,-3.082,0.307,-5.4,1.478,0.938,[2.15  5.405],[0.    0.049]
1.8,63.75,0,0.0,1.742,61.287,0.207,-2.707,0.314,-5.856,1.528,0.837,[2.124 5.881],[0.002 0.044]
1.8,63.75,1,0.11,1.19,63.22,0.136,-1.648,0.216,-9.205,1.062,0.536,[2.092 9.203],[0.022 0.021]
1.8,63.75,2,0.0,1.758,61.759,0.191,-2.849,0.295,-3.331,1.549,0.832,[1.954 3.34 ],[0.046 0.033]
1.8,67.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.184 6.796],[0.004 0.039]
1.8,67.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.125 8.885],[0.001 0.108]
1.8,67.5,2,0.0,1.702,65.197,0.174,-2.695,0.268,-5.973,1.545,0.714,[1.749 5.973],[0.061 0.   ]
1.8,71.25,0,0.0,1.71,69.605,0.201,-1.863,0.322,-4.636,1.603,0.596,[2.087 4.608],[0.013 0.047]
1.8,71.25,1,0.0,1.712,69.628,0.185,-2.031,0.297,-4.789,1.605,0.596,[1.914 4.768],[0.002 0.133]
1.8,71.25,2,0.0,1.728,70.076,0.206,-1.771,0.334,-5.388,1.625,0.589,[2.091 5.139],[0.    0.245]
1.8,75.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.094 9.612],[0.015 0.027]
1.8,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.294 5.574],[0.018 0.05 ]
1.8,75.0,2,0.0,1.722,73.776,0.223,-1.304,0.369,-2.956,1.653,0.481,[2.273 2.976],[0.015 0.096]
1.8,78.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.943 6.356],[0.002 0.097]
1.8,78.75,1,0.0,1.705,77.774,0.195,-1.123,0.324,-5.844,1.666,0.361,[1.977 6.26 ],[0.001 0.723]
1.8,78.75,2,0.0,1.858,78.545,0.215,-0.927,0.393,-2.799,1.821,0.369,[2.23  7.232],[0.006 1.627]
1.8,82.5,0,0.0,1.69,81.357,0.14,-1.119,0.234,-4.612,1.671,0.254,[1.449 4.617],[0.035 0.035]
1.8,82.5,1,0.06,1.872,82.511,0.233,-0.554,0.432,-6.078,1.856,0.244,[2.314 6.098],[0.018 0.047]
1.8,82.5,2,0.11,1.74,82.038,0.23,-0.606,0.397,-3.549,1.723,0.241,[2.336 3.535],[0.053 0.423]
1.8,86.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.808 6.157],[0.    0.654]
1.8,86.25,1,0.0,1.812,86.361,0.195,-0.325,0.352,-7.247,1.808,0.115,[2.175 8.15 ],[0.095 1.035]
1.8,86.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.214 8.074],[0.039 0.005]
1.8,90.0,0,0.17,1.882,90.03,0.217,0.001,0.407,-8.269,1.882,-0.001,[2.222 8.247],[0.037 0.051]
1.8,90.0,1,0.33,1.803,89.905,0.214,-0.005,0.386,-9.241,1.803,0.003,[2.191 9.148],[0.005 0.318]
1.8,90.0,2,0.0,1.737,89.967,0.216,-0.003,0.376,-1.468,1.737,0.001,[2.197 1.849],[0.021 0.195]
1.9,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.029 5.844],[0.043 0.045]
1.9,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.773 2.093],[0.01  0.026]
1.9,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.434 7.07 ],[0.011 0.125]
1.9,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.888 6.202],[0.022 0.13 ]
1.9,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.831 8.351],[0.003 0.264]
1.9,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.023 3.434],[0.006 0.158]
1.9,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.961 5.695],[0.064 0.242]
1.9,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.977 3.571],[0.028 0.131]
1.9,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.815 9.007],[0.001 0.031]
1.9,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.933 8.186],[0.001 0.044]
1.9,41.25,1,0.0,1.838,38.105,0.15,-8.561,0.168,-9.304,1.134,1.446,[1.583 9.366],[0.019 0.243]
1.9,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.282 2.636],[0.035 0.013]
1.9,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.981 3.39 ],[0.018 0.044]
1.9,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.93  8.116],[0.03  0.036]
1.9,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.907 5.362],[0.003 0.039]
