vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.0,75.0,0,0.0,,,,,,,,,,,,,[0.448 1.635],[0.26  3.288]
2.0,78.75,0,0.0,,,,,,,,,,,,,[0.184 5.883],[0.043 0.247]
2.0,82.5,0,0.0,,,,,,,,,,,,,[0.29  8.113],[0.266 0.908]
2.0,86.25,0,0.0,,,,,,,,,,,,,[0.778 7.021],[0.079 0.283]
2.0,90.0,0,0.0,,,,,,,,,,,,,[0.343 3.172],[0.228 0.184]
2.1,30.0,0,0.4444,0.2221,-8.9538,0.209,-8.175,0.9311,1.8856,0.002,0.3047,0.0072,0.1746,0.015,0.0332,[0.29  9.214],[0.092 0.256]
2.1,33.75,0,0.8889,0.2264,-7.5614,0.2379,-7.7747,1.0442,1.8085,0.0024,0.4582,0.0132,0.2257,0.0457,0.0294,[0.303 4.11 ],[0.091 0.194]
2.1,37.5,0,0.8889,0.2251,-6.567,0.26,-7.7966,1.1527,1.7164,0.003,0.3307,0.0126,0.2289,0.0462,0.0309,[0.227 7.115],[0.118 0.444]
2.1,41.25,0,1.0,0.2255,-5.6132,0.2884,-7.5424,1.2681,1.634,0.0032,0.2544,0.0126,0.2582,0.0434,0.022,[0.457 6.873],[0.132 0.872]
2.1,45.0,0,1.0,0.2252,-4.9523,0.307,-7.3225,1.3539,1.5368,0.0027,0.1315,0.0091,0.1989,0.0237,0.0231,[0.196 4.835],[0.101 0.348]
2.1,48.75,0,1.0,0.223,-4.2895,0.3291,-7.1144,1.4669,1.4272,0.0025,0.1448,0.011,0.1703,0.0436,0.0244,[0.691 5.634],[0.186 0.516]
2.1,52.5,0,1.0,0.2228,-3.7796,0.3478,-6.8351,1.5521,1.3321,0.0024,0.1366,0.0122,0.1969,0.0451,0.0172,[0.31  7.784],[0.14  0.141]
2.1,56.25,0,0.9444,0.2214,-3.2829,0.3629,-6.6153,1.6361,1.2004,0.0034,0.1433,0.0139,0.2739,0.0445,0.0192,[1.044 5.229],[0.413 0.208]
2.1,60.0,0,1.0,0.2241,-2.7907,0.3846,-6.0917,1.7105,1.0863,0.0044,0.1514,0.0205,0.4324,0.0547,0.0149,[0.355 8.122],[0.141 1.3  ]
2.1,63.75,0,0.7222,0.2248,-2.381,0.3995,-5.8071,1.7716,0.9647,0.0049,0.0984,0.0157,0.3831,0.0338,0.0132,[0.099 5.822],[0.049 0.092]
2.1,67.5,0,0.0,,,,,,,,,,,,,[0.072 2.817],[0.045 1.269]
2.1,71.25,0,0.0,,,,,,,,,,,,,[0.136 3.668],[0.088 0.958]
2.1,75.0,0,0.0,,,,,,,,,,,,,[0.225 3.619],[0.164 2.035]
2.1,78.75,0,0.0,,,,,,,,,,,,,[0.916 4.191],[0.228 1.012]
2.1,82.5,0,0.0,,,,,,,,,,,,,[1.045 8.285],[1.057 0.22 ]
2.1,86.25,0,0.0,,,,,,,,,,,,,[1.453 6.413],[0.363 1.066]
2.1,90.0,0,0.0,,,,,,,,,,,,,[1.929 5.624],[1.391 3.238]
2.2,30.0,0,0.6111,0.2224,-8.9914,0.2179,-8.1185,0.9734,1.9729,0.0017,0.3848,0.009,0.1756,0.0287,0.0297,[0.152 1.869],[0.032 1.686]
2.2,33.75,0,0.8889,0.2257,-7.4704,0.2502,-7.7684,1.1016,1.8822,0.0021,0.312,0.0099,0.208,0.0317,0.039,[1.74  3.149],[1.159 0.697]
2.2,37.5,0,0.9444,0.2268,-6.3875,0.2799,-7.5866,1.2221,1.8045,0.002,0.2874,0.0109,0.1978,0.035,0.0275,[1.149 8.065],[0.456 0.229]
2.2,41.25,0,0.9444,0.2245,-5.6252,0.3008,-7.5792,1.3329,1.7044,0.0028,0.1938,0.0093,0.2132,0.031,0.0274,[1.849 6.708],[0.994 0.867]
