t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
4.93,-0.0007480064409436731,2.3422825536488775e-05,0.43245509043642794,0.9996229800078265,-0.02649610296572357,0.006944821809378077,-0.0019036328265415999,0.00451853082597491,0.02590058328628019,2.182233147763794,-0.7617785483047905,0.2356375310079251,-0.04752248317737389
4.934,-0.0007272553817119518,0.00013325982719533143,0.44121483477521384,0.9995733855357554,-0.028290463100249817,0.007003977909815498,-0.0019081193884636814,0.005543527977313167,0.02856504996286646,2.1961928108367443,-0.9585642753453757,-0.0808832271376484,0.023592662039067916
4.939,-0.0006983448598016919,0.00028566443845897397,0.4522368349001658,0.9994790100250043,-0.031379488278431567,0.0072810172730202165,-0.0020057473148380116,0.006113297051893866,0.032111959191928434,2.2125997347718296,-1.3527002964966954,0.18804245898086436,-0.05436198245418074
4.943,-0.0006717842808972181,0.0004244736624578176,0.4611471201665859,0.9993857315321629,-0.034133585068832635,0.007652269546579506,-0.0021214973624076694,0.006955471594424677,0.036315325023397405,2.236598319664887,-1.3889862226326142,0.18980780755460006,-0.05386264256393211
4.947,-0.0006416387821341539,0.0005813644814859911,0.4701540269896287,0.9992837341921906,-0.03690588231919987,0.00805997180931128,-0.002238589642066921,0.007902346159798951,0.04102190909341646,2.260817978274074,-1.3792608357285479,0.21601374652627398,-0.05588056450201526
4.952,-0.0005980551681413655,0.0008053671250464272,0.48154911634507086,0.9991487465944588,-0.04026736644574553,0.00863814395815488,-0.0023882728495018125,0.00929042742592112,0.047369008470037964,2.291146991426027,-1.32213984795818,0.23730292090925784,-0.05845236207527525
4.956,-0.0005577735272296736,0.0010079684514731947,0.4907742539065923,0.9990357906236357,-0.042878889955919944,0.009088394025420497,-0.0025081752717353765,0.010551272216072593,0.052632676637470205,2.3153586868390037,-1.3040632582721154,0.21541976831979964,-0.056970028155920345
4.961,-0.0005001062253354965,0.001291307246096299,0.5024416013848474,0.9988832854536882,-0.04619221878910699,0.009561319171763567,-0.0026537031260117716,0.012183828582488157,0.059394306158800564,2.345530566957229,-1.3492040190355576,0.1772771818242536,-0.05274077272183813
4.966,-0.00043448665799567876,0.0016096551961401473,0.5142595421820947,0.9987134035528785,-0.04963410475646149,0.010008563796284757,-0.002796758764258797,0.013738273455208528,0.0666029654927027,2.37561800872316,-1.3891645230911467,0.19024571533444906,-0.05317564742385372
4.971,-0.00036123072545975,0.0019661043472908343,0.526227793799807,0.9985312440493704,-0.05306208792880081,0.010540498376998308,-0.002944040729512932,0.015267472211288482,0.07451393927381147,2.4056712604501618,-1.3547658511231264,0.22781191106793275,-0.057684949492969484
4.977,-0.0002627740656344253,0.0024492296076737063,0.540788086689428,0.9983040563866591,-0.05703947404182797,0.01121387174979605,-0.0031238571274821627,0.017256579866540903,0.08494411361029813,2.441751773075925,-1.3199782489896288,0.21333876153368422,-0.056788913013002255
4.981,-0.000190165915784932,0.00280752789341403,0.550615255683337,0.9981434275595364,-0.05970445008776915,0.01160081506604989,-0.0032400230278098415,0.018699427317785785,0.09240126619428778,2.4658155409398885,-1.347729296462448,0.1855057503750427,-0.052915323346608416
4.986,-9.102240484965567e-05,0.0032988767401346242,0.5630344868624622,0.9979270231388179,-0.06312528712278485,0.012058694590652999,-0.0033826764155621765,0.020593059820476184,0.10225890886263603,2.495857163642157,-1.3794922732396715,0.191914566793748,-0.05298747942551897
4.99,-4.694393060847118e-06,0.003728507322178881,0.5730778398697624,0.9977452126502144,-0.06585280658746552,0.012475876123220795,-0.003500144724214724,0.022185893065458876,0.11053479865439164,2.519816441431203,-1.3535477622215846,0.2210702203788131,-0.05741198347864009
