V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,Policy_Trg_Action_trg,Policy_Rot_Action_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,42,--,0,False,False,False,--,0.0,-93.367,2.501,59.938,0.0,0.0,0.211,0.311,1.858,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.385 0.917 0.491 1.   ]
2.5,60,0,43,--,0,False,False,False,--,0.0,-93.388,2.497,59.924,0.0,0.0,0.208,0.309,1.877,0.667,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.923 0.386 0.912 0.492 0.5  ]
2.5,60,0,44,--,0,False,False,False,--,0.0,-93.94,2.502,59.958,0.0,0.0,0.212,0.312,1.854,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.858 0.568 1.   ]
2.5,60,0,45,--,0,False,False,False,--,0.0,-94.01,2.5,59.958,0.0,0.0,0.211,0.311,1.86,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.386 0.913 0.492 1.   ]
2.5,60,0,46,--,0,False,False,False,--,0.0,-92.185,2.499,60.04,0.0,0.0,0.214,0.314,1.837,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.401 0.876 0.523 1.   ]
2.5,60,0,47,--,0,False,False,False,--,0.0,-90.599,2.5,59.964,0.0,0.0,0.215,0.315,1.838,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.398 0.889 0.499 1.   ]
2.5,60,0,48,--,0,False,False,False,--,0.0,-93.83,2.496,59.981,0.0,0.0,0.211,0.311,1.859,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.383 0.92  0.49  0.5  ]
2.5,60,0,49,--,0,False,False,False,--,0.0,-93.286,2.482,59.823,0.0,0.0,0.211,0.312,1.865,0.669,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.384 0.918 0.49  1.   ]
2.5,60,0,50,--,0,False,False,False,--,0.0,-92.897,2.497,59.963,0.0,0.0,0.211,0.311,1.856,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.404 0.869 0.54  1.   ]
2.5,60,0,51,--,0,False,False,False,--,0.0,-94.314,2.501,59.969,0.0,0.0,0.21,0.309,1.868,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.383 0.917 0.491 0.5  ]
2.5,60,0,52,--,0,False,False,False,--,0.0,-79.556,2.491,59.912,0.0,0.0,0.219,0.319,1.816,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.417 0.864 0.552 1.   ]
2.5,60,0,53,--,0,False,False,False,--,0.0,-93.866,2.501,59.997,0.0,0.0,0.209,0.309,1.867,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.383 0.919 0.49  0.5  ]
