V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,41,--,4,False,True,False,--,0.964,-94.365,2.5,30.0,2.5,30.0,0.213,0.312,1.848,0.46,0.676,--,-133.607,133.607,-19.26,0.333,1.26,nan,nan,nan,nan,--,0.824,[1.    0.882 0.459 0.745 0.81  1.   ],[ 0.957 -0.866  0.087  0.078],[-100    0]
2.5,60,0,42,--,4,False,True,False,--,0.812,-93.084,2.5,30.0,2.5,30.0,0.216,0.316,1.825,0.468,0.685,--,-137.177,137.177,-19.172,0.337,1.198,nan,nan,nan,nan,--,0.834,[1.    0.849 0.472 0.718 0.863 1.   ],[ 0.819 -0.755  0.093  0.118],[-100    0]
2.5,60,0,43,--,4,False,True,False,--,0.957,-92.899,2.5,30.0,2.5,30.0,0.213,0.313,1.843,0.462,0.678,--,-134.79,134.79,-19.154,0.337,1.219,nan,nan,nan,nan,--,0.828,[1.    0.875 0.465 0.736 0.828 1.   ],[ 0.95  -0.859  0.088  0.084],[-100    0]
2.5,60,0,44,--,4,False,True,False,--,0.95,-92.765,2.5,30.0,2.5,30.0,0.214,0.313,1.842,0.462,0.679,--,-134.574,134.574,-19.124,0.339,1.219,nan,nan,nan,nan,--,0.827,[1.    0.874 0.464 0.738 0.825 1.   ],[ 0.949 -0.857  0.088  0.084],[-100    0]
2.5,60,0,45,--,4,False,True,False,--,0.938,-91.801,2.5,30.0,2.5,30.0,0.214,0.314,1.837,0.464,0.68,--,-135.307,135.307,-19.029,0.344,1.192,nan,nan,nan,nan,--,0.829,[1.    0.867 0.468 0.732 0.835 1.   ],[ 0.93  -0.838  0.089  0.092],[-100    0]
2.5,60,0,46,--,4,False,True,False,--,0.978,-94.302,2.5,30.0,2.5,30.0,0.209,0.309,1.868,0.453,0.669,--,-131.308,131.308,-19.194,0.338,1.282,nan,nan,nan,nan,--,0.818,[1.    0.913 0.453 0.763 0.776 1.   ],[ 0.973 -0.88   0.084  0.062],[-100    0]
2.5,60,0,47,--,4,False,True,False,--,0.973,-93.666,2.5,30.0,2.5,30.0,0.21,0.31,1.86,0.456,0.672,--,-132.613,132.613,-19.177,0.337,1.256,nan,nan,nan,nan,--,0.822,[1.    0.901 0.457 0.753 0.795 1.   ],[ 0.968 -0.875  0.085  0.067],[-100    0]
2.5,60,0,48,--,4,False,True,False,--,0.976,-92.998,2.5,30.0,2.5,30.0,0.211,0.311,1.859,0.456,0.672,--,-132.755,132.755,-19.125,0.339,1.242,nan,nan,nan,nan,--,0.822,[1.    0.899 0.458 0.752 0.797 1.   ],[ 0.967 -0.874  0.085  0.068],[-100    0]
2.5,60,0,49,--,4,False,True,False,--,0.967,-93.803,2.5,30.0,2.5,30.0,0.211,0.311,1.855,0.457,0.674,--,-132.826,132.826,-19.207,0.335,1.257,nan,nan,nan,nan,--,0.822,[1.    0.894 0.458 0.751 0.798 1.   ],[ 0.964 -0.872  0.086  0.071],[-100    0]
2.5,60,0,50,--,4,False,True,False,--,0.669,-86.197,2.5,30.0,2.5,30.0,0.217,0.317,1.82,0.471,0.687,--,-137.296,137.296,-18.463,0.371,1.057,nan,nan,nan,nan,--,0.836,[1.    0.841 0.482 0.717 0.865 1.   ],[ 0.73  -0.708  0.095  0.133],[-100    0]
2.5,60,0,51,--,4,False,True,False,--,0.949,-91.431,2.5,30.0,2.5,30.0,0.214,0.314,1.839,0.463,0.68,--,-134.706,134.706,-18.948,0.349,1.192,nan,nan,nan,nan,--,0.827,[1.    0.87  0.467 0.737 0.826 1.   ],[ 0.94  -0.848  0.089  0.088],[-100    0]
2.5,60,0,52,--,4,False,True,False,--,0.97,-92.682,2.5,30.0,2.5,30.0,0.21,0.31,1.863,0.454,0.671,--,-132.257,132.257,-19.056,0.344,1.241,nan,nan,nan,nan,--,0.821,[1.    0.906 0.458 0.756 0.79  1.   ],[ 0.97  -0.877  0.085  0.065],[-100    0]
2.5,60,0,53,--,4,False,True,False,--,0.967,-95.034,2.5,30.0,2.5,30.0,0.21,0.31,1.864,0.454,0.671,--,-132.339,132.339,-19.284,0.333,1.285,nan,nan,nan,nan,--,0.821,[1.    0.907 0.455 0.755 0.791 1.   ],[ 0.971 -0.877  0.085  0.064],[-100    0]
2.5,60,0,54,--,4,False,True,False,--,0.547,-85.671,2.5,30.0,2.5,30.0,0.218,0.318,1.815,0.472,0.689,--,-138.473,138.473,-18.382,0.376,1.034,nan,nan,nan,nan,--,0.84,[1.    0.834 0.487 0.708 0.882 1.   ],[ 0.626 -0.662  0.096  0.146],[-100    0]
