Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
3.637070000000007,1000,,,,0,0.0078125,-0.98828125,,-1.365870628703246,24.922000885009766,0.0244140625,0,0,0.6084472872316837,,0,,0,,,0.4054955206811428,0.0625,0.030342960451906546,1,1,0,0,0,0,0,0,,
3.647475000000035,1000,,,,0,0.005859375,-1.021484375,-0.0006022318974391342,,24.922000885009766,0.0390625,0,0,0.973515659570694,0,0,0,0,0.11211028322577477,-0.4131952300667763,,0.0625,0.030367743425463327,1,1,0,0,0,0,0,0,,
3.656155000000028,1000,,,,0,0.0078125,-0.990234375,,-0.6537500445075366,24.922000885009766,0.0390625,0,0,0.973515659570694,,0,,0,,,0.4062056541442871,0.0625,0.030395083998264964,1,1,0,0,0,0,0,0,,
3.669110000000015,1000,,,,0,0.0078125,-0.98828125,-0.000404544490097794,-1.697415294132068,24.922000885009766,0.009765625,0,0,0.2433789148926735,0,0,0,0,0.11183321475982666,-0.41421735659241676,0.4051649011671543,0.0625,0.030310584225088096,1,1,0,0,0,0,0,0,,
3.6781350000000095,1000,,,,0,0.0078125,-1.01171875,-0.0005603630370017154,-1.6857411861944336,24.92000389099121,0.048828125,0,0,1.2167970649898052,0,0,0,0,0.11183321475982666,-0.4131952300667763,0.405176542699337,0.0625,0.030361881155144974,1,1,0,0,0,0,0,0,,
3.686100000000006,1000,,,,0,0.005859375,-0.986328125,-0.000998541153914326,,24.928001403808594,0.009765625,0,0,0.2434375137090683,0,0,0,0,0.11329539120197296,-0.4117703065276146,,0.0625,0.03031024668147662,1,1,0,0,0,0,0,0,,
3.6941900000000025,1000,,,,0,0.00390625,-1.0546875,,-2.080326034486482,24.926002502441406,0,0,0,0,,0,,0,,,0.40478305891156197,0.0625,0.03023340455406109,1,1,0,0,0,0,0,0,,
3.702070000000007,1000,,,,0,0.005859375,-0.98828125,-0.0012459341543517592,,24.922000885009766,0.0146484375,0,0,0.36506837233901024,0,0,0,0,0.11329539120197296,-0.4101474769413471,,0.0625,0.030194601915016675,1,1,0,0,0,0,0,0,,
3.712739999999991,1000,,,,0,0.005859375,-0.990234375,,-2.348830517052078,24.924001693725586,0.009765625,0,0,0.24339845404028893,,0,,0,,,0.40451530367136,0.0625,0.030127196564532038,1,1,0,0,0,0,0,0,,
3.7268400000000255,1000,,,,0,0.005859375,-0.990234375,-0.0009894434042771506,-4.176995820085653,24.921001434326172,0.02685546875,0,0,0.6692651752382517,0,0,0,0,0.11159805580973625,-0.4101474769413471,0.4026922397315502,0.0625,0.030112336983644496,1,1,0,0,0,0,0,0,,
