vel_IC,phi_IC,d_ceiling,My,k_run,vx,vz,RREV_trig,OFy_trig,impact_eul,landing_success
1.0,30.0,0.1,-6.25,2,0.87,0.5,5.0,-8.7,194.4835,0.0
1.0,30.0,0.1,-6.5,2,0.87,0.5,5.0,-8.7,195.6725,0.0
1.0,30.0,0.1,-6.75,2,0.87,0.5,5.0,-8.7,195.6376,0.0
1.0,30.0,0.1,-7.0,2,0.87,0.5,5.0,-8.7,195.4778,0.0
1.0,30.0,0.1,-7.25,2,0.87,0.5,5.0,-8.7,195.2879,0.0
1.0,30.0,0.1,-7.5,2,0.87,0.5,5.0,-8.7,193.9809,0.0
1.0,30.0,0.1,-7.75,2,0.87,0.5,5.0,-8.7,193.6388,0.0
1.0,30.0,0.1,-8.0,2,0.87,0.5,5.0,-8.7,194.0953,0.0
1.0,30.0,0.1,-8.25,2,0.87,0.5,5.0,-8.7,196.2065,0.0
1.0,30.0,0.1,-8.5,2,0.87,0.5,5.0,-8.7,195.6768,0.0
1.0,30.0,0.1,-8.75,2,0.87,0.5,5.0,-8.7,193.0956,0.0
1.0,30.0,0.1,-9.0,2,0.87,0.5,5.0,-8.7,193.8248,0.0
1.0,30.0,0.1,-9.25,2,0.87,0.5,5.0,-8.7,193.8236,0.0
1.0,30.0,0.1,-9.5,2,0.87,0.5,5.0,-8.7,194.9412,0.0
1.0,30.0,0.1,-9.75,2,0.87,0.5,5.0,-8.7,192.824,0.0
1.0,40.0,0.55,-3.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-3.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-3.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-3.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-4.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-4.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-4.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-4.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-5.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-5.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-5.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-5.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-6.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-6.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-6.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-6.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-7.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-7.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-7.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-7.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-8.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-8.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-8.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-8.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-9.0,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-9.25,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-9.5,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.55,-9.75,2,0.77,0.64,1.1636,-1.4,,0.0
1.0,40.0,0.5,-3.0,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-3.25,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-3.5,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-3.75,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-4.0,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-4.25,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-4.5,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-4.75,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-5.0,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-5.25,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-5.5,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-5.75,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-6.0,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-6.25,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-6.5,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-6.75,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-7.0,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-7.25,2,0.77,0.64,1.28,-1.54,,0.0
1.0,40.0,0.5,-7.5,2,0.77,0.64,1.28,-1.54,,0.0
