vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.0,82.5,1.0,0.0,0.2216,-0.6521,0.4097,-7.3518,1.8499,0.27,0.0028,0.0252,0.0135,0.6005,0.049,0.0052,[4.665 5.064],[0.519 0.507]
2.0,86.25,0.9,0.0,0.2248,-0.319,0.4189,-7.2577,1.8646,0.1352,0.0031,0.0136,0.0139,0.5001,0.0501,0.0031,[4.256 4.197],[1.    0.967]
2.1,30.0,0.9,0.0,0.2001,-8.6224,0.171,-7.8776,0.7655,1.6642,0.071,3.0872,0.0612,0.1036,0.2766,0.5887,[4.116 3.553],[0.931 2.107]
2.1,33.75,0.9,0.0,0.1927,-7.5593,0.1864,-7.8276,0.8638,1.5863,0.0682,2.7171,0.0667,0.1587,0.3091,0.5614,[5.09  4.968],[0.681 1.274]
2.1,37.5,0.85,0.0,0.2145,-7.1589,0.2379,-7.8798,1.1156,1.7014,0.0029,0.5328,0.0165,0.0926,0.0701,0.0206,[4.908 5.61 ],[1.378 1.12 ]
2.1,41.25,0.8,0.0,0.1723,-5.1329,0.2082,-7.9177,0.9879,1.3171,0.0828,2.4939,0.1011,0.0753,0.4787,0.633,[4.32  5.634],[1.02  1.608]
2.1,45.0,0.9,0.0,0.1756,-4.6564,0.2271,-7.909,1.0815,1.2702,0.0786,2.1009,0.1023,0.0807,0.4867,0.5684,[3.953 5.389],[1.142 0.551]
2.1,48.75,1.0,0.0,0.2021,-4.5284,0.2843,-7.8548,1.3415,1.3586,0.0464,1.0659,0.0665,0.1184,0.3117,0.3122,[4.04  3.731],[1.502 1.282]
2.1,52.5,1.0,0.0,0.2021,-3.8524,0.3074,-7.9322,1.4483,1.2536,0.0464,0.8985,0.0713,0.0265,0.335,0.2883,[5.415 4.695],[0.585 0.368]
2.1,56.25,0.9,0.0,0.1997,-3.4172,0.3134,-7.9199,1.4845,1.1377,0.0485,0.8368,0.0767,0.0624,0.3627,0.2765,[4.971 4.022],[0.654 2.313]
2.1,60.0,0.9,0.1,0.1758,-2.6284,0.2864,-7.8671,1.3591,0.9054,0.0787,1.1801,0.1284,0.0777,0.6088,0.405,[4.43  4.383],[0.685 1.785]
2.1,63.75,0.75,0.05,0.1696,-2.1064,0.2893,-7.7799,1.3665,0.7639,0.0848,1.0558,0.1449,0.1625,0.684,0.3822,[4.91  3.979],[0.748 1.18 ]
2.1,67.5,0.85,0.15,0.1751,-1.7983,0.3115,-7.8225,1.4676,0.6829,0.0811,0.8354,0.1446,0.12,0.6807,0.3164,[5.368 5.402],[0.53 1.08]
2.1,71.25,0.8,0.1,0.1875,-5.6464,0.459,-7.7628,21.1936,-1.5022,0.0709,15.5191,0.3694,0.1919,75.457,8.3384,[4.09  5.179],[0.995 2.041]
2.1,78.75,0.85,0.05,0.2027,-0.8817,0.4094,-7.5724,1.8786,0.4751,0.0517,0.4896,0.1071,0.3936,0.4829,0.2185,[4.245 5.233],[1.797 0.723]
2.1,82.5,0.65,0.15,0.2198,-0.5765,0.4479,-7.4911,2.0416,0.284,0.0057,0.476,0.0247,0.3474,0.1054,0.1252,[4.855 4.488],[0.537 1.036]
