Step,Reward,Episode
80955,0.837,5564
81029,0.837,5568
81178,0.840,5576
81256,0.838,5580
81389,0.842,5588
81453,0.842,5592
81606,0.856,5600
81698,0.837,5604
81900,0.829,5616
82044,0.835,5624
82641,0.849,5656
82852,0.835,5668
82918,0.839,5672
83100,0.825,5680
83244,0.819,5688
83315,0.816,5692
83525,0.815,5704
83934,0.818,5728
84000,0.819,5732
84074,0.824,5736
84145,0.820,5740
84299,0.798,5748
84444,0.796,5756
84515,0.805,5760
84586,0.805,5764
84659,0.801,5768
84868,0.819,5780
85006,0.816,5788
85077,0.811,5792
85145,0.815,5796
85218,0.820,5800
85292,0.827,5804
85362,0.834,5808
85430,0.838,5812
85568,0.833,5820
85634,0.833,5824
85714,0.822,5828
85780,0.817,5832
85853,0.810,5836
85926,0.810,5840
85999,0.809,5844
86068,0.820,5848
86137,0.827,5852
86208,0.829,5856
86278,0.830,5860
86702,0.846,5884
86911,0.853,5896
86986,0.846,5900
87121,0.839,5908
87183,0.839,5912
87463,0.850,5928
87532,0.862,5932
87598,0.870,5936
87666,0.870,5940
87872,0.877,5952
87938,0.876,5956
88006,0.871,5960
88084,0.870,5964
88155,0.870,5968
88300,0.871,5976
88372,0.873,5980
88650,0.873,5996
88720,0.870,6000
88792,0.874,6004
88932,0.879,6012
89145,0.873,6024
89422,0.856,6040
89487,0.861,6044
89555,0.859,6048
89625,0.859,6052
89695,0.861,6056
89836,0.867,6064
89903,0.865,6068
90426,0.849,6096
90632,0.844,6108
90768,0.837,6116
90903,0.846,6124
91121,0.862,6136
91195,0.861,6140
91397,0.854,6152
91466,0.849,6156
91538,0.850,6160
91606,0.850,6164
91676,0.852,6168
91968,0.845,6184
92125,0.844,6192
92202,0.842,6196
92267,0.840,6200
92407,0.840,6208
92473,0.844,6212
92546,0.841,6216
92695,0.839,6224
92827,0.837,6232
92985,0.830,6240
93050,0.832,6244
93223,0.815,6252
93370,0.819,6260
93444,0.812,6264
93523,0.799,6268
93671,0.797,6276
93811,0.803,6284
93878,0.803,6288
93953,0.809,6292
94020,0.809,6296
94088,0.815,6300
94229,0.822,6308
94367,0.831,6316
94437,0.831,6320
94509,0.829,6324
94576,0.823,6328
94644,0.818,6332
94857,0.823,6344
95198,0.850,6364
95536,0.865,6384
95606,0.865,6388
95678,0.873,6392
95963,0.865,6408
96036,0.864,6412
96100,0.859,6416
96591,0.863,6444
96663,0.860,6448
96804,0.862,6456
96879,0.863,6460
96944,0.858,6464
97017,0.860,6468
97091,0.862,6472
97301,0.869,6484
97449,0.864,6492
97586,0.858,6500
97731,0.856,6508
97801,0.856,6512
98016,0.856,6524
98087,0.858,6528
98370,0.854,6544
98440,0.846,6548
98508,0.848,6552
98576,0.848,6556
98714,0.855,6564
98794,0.849,6568
99152,0.847,6588
99218,0.845,6592
99362,0.856,6600
99508,0.864,6608
99577,0.864,6612
99653,0.870,6616
99723,0.872,6620
99866,0.872,6628
100004,0.873,6636
100081,0.877,6640
100151,0.882,6644
100297,0.887,6652
100445,0.886,6660
100580,0.888,6668
100790,0.867,6680
100869,0.867,6684
101080,0.866,6696
101147,0.863,6700
101215,0.861,6704
101354,0.860,6712
101501,0.841,6720
101576,0.836,6724
101646,0.836,6728
101717,0.831,6732
101925,0.825,6744
101998,0.822,6748
102072,0.833,6752
102143,0.826,6756
102223,0.814,6760
102291,0.812,6764
102496,0.828,6776
102568,0.828,6780
102642,0.835,6784
102780,0.831,6792
102844,0.829,6796
102911,0.835,6800
102978,0.840,6804
103053,0.829,6808
103127,0.830,6812
103261,0.845,6820
103466,0.860,6832
103606,0.851,6840
103677,0.849,6844
103746,0.849,6848
103820,0.848,6852
104101,0.862,6868
104239,0.869,6876
104308,0.869,6880
104381,0.868,6884
