vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.5,90.0,4,0.0,1.5,[2.92 6.94],[2. 2.],4.98,0.0,7.93,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,22.6,0,1.85,0.77,[3.24 7.66],[2. 2.],4.22,0.0,9.27,0.0,0.625,0.1458,4.2977,0.056,17.3425,0.5169,-10.3245,0.1402,1.9173,0.0027,0.1827,0.7607,0.0004,3.2397,0.4008,8.6067,1.7347,1.4113,0.0888,0.1767,0.1119,87.6629,16.2692,0.1604,0.013
2.0,22.6,1,1.85,0.77,[3.62 7.79],[2. 2.],4.18,0.0,9.45,0.02,0.7083,0.0,4.2861,0.048,17.3301,0.3805,-10.3,0.1153,1.9172,0.002,0.1828,0.7608,0.0004,3.2402,0.4243,8.8191,1.7182,1.4088,0.0733,0.2032,0.1083,88.1247,18.2864,0.1596,0.014
2.0,22.6,2,1.85,0.77,[4.  3.1],[2. 2.],4.68,0.02,6.19,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,22.6,3,1.85,0.77,[3.47 4.53],[2. 2.],4.82,0.0,5.76,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,22.6,4,1.85,0.77,[4.26 3.08],[2. 2.],6.97,0.01,3.23,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,30.0,0,1.73,1.0,[4.17 5.07],[2. 2.],4.49,0.01,8.5,0.18,0.6042,0.0,4.6256,0.0423,21.3432,0.4691,-7.9679,0.0786,1.8846,0.0024,0.2154,0.995,0.0,3.2102,0.53,8.356,1.543,1.2721,0.0326,0.2892,0.074,98.1541,14.5638,0.1742,0.0119
2.0,30.0,1,1.73,1.0,[4.45 7.97],[2. 2.],4.63,0.0,8.22,0.03,0.8542,0.0417,4.7631,0.0675,21.4896,0.6225,-8.2125,0.1152,1.8853,0.0031,0.2147,0.995,0.0,2.5824,0.5737,7.604,1.548,1.286,0.2122,0.2817,0.0947,91.1132,16.8369,0.1009,0.4401
2.0,30.0,2,1.73,1.0,[4.25 5.54],[2. 2.],4.44,0.02,9.23,0.01,0.6667,0.0208,4.5436,0.049,20.614,0.4385,-7.8279,0.0844,1.8808,0.0023,0.2192,0.995,0.0,3.4059,0.5584,8.0601,1.6247,1.2474,0.0259,0.3348,0.0772,100.2976,13.2471,0.1706,0.0091
2.0,30.0,3,1.73,1.0,[5.83 4.55],[2. 2.],4.59,0.01,9.24,0.04,0.9792,0.0,4.6917,0.0586,21.2437,1.1341,-8.0856,0.0992,1.8839,0.0057,0.2161,0.995,0.0,2.5264,0.5408,7.5591,1.5981,1.2941,0.2007,0.4102,0.1214,87.6024,21.1678,0.0998,0.4158
2.0,30.0,4,1.73,1.0,[5.36 3.14],[2. 2.],5.36,0.05,5.12,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,37.5,0,1.59,1.22,[4.95 3.99],[2. 2.],4.78,0.01,8.09,0.19,0.9375,0.0,4.9165,0.0569,23.3228,1.2029,-6.3671,0.0739,1.8486,0.0065,0.2514,1.213,0.0,2.4184,0.4612,6.3752,1.2815,1.1302,0.1781,0.4527,0.1148,94.8045,15.4996,0.1107,0.4211
2.0,37.5,1,1.59,1.22,[5.08 4.95],[2. 2.],4.85,0.0,8.0,0.01,0.9792,0.0,4.9818,0.0762,23.9007,0.9248,-6.4547,0.0983,1.8517,0.0048,0.2483,1.213,0.0,2.3227,0.565,6.1042,1.2126,1.1801,0.0411,0.4789,0.0745,88.9286,8.7323,0.1718,0.0068
2.0,37.5,2,1.59,1.22,[3.5  3.87],[2. 2.],5.6,0.0,3.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,37.5,3,1.59,1.22,[6.19 3.7 ],[2. 2.],5.59,0.03,3.98,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,37.5,4,1.59,1.22,[4.08 7.43],[2. 2.],4.83,0.0,8.11,0.0,0.9792,0.0208,4.9277,0.0719,23.0089,1.0999,-6.3837,0.0931,1.8469,0.0058,0.2531,1.213,0.0,2.3044,0.5442,6.0108,1.3021,1.1722,0.0445,0.4831,0.0744,90.1628,8.9785,0.1725,0.007
2.0,45.0,0,1.41,1.41,[5.94 4.2 ],[2. 2.],4.94,0.0,6.72,0.0,0.875,0.0208,5.0813,0.0686,25.635,0.9283,-5.045,0.0699,1.8214,0.0051,0.2786,1.4097,0.0004,2.0002,0.5256,5.3242,1.0053,1.005,0.028,0.418,0.0758,99.8533,8.1604,0.1923,0.0062
2.0,45.0,1,1.41,1.41,[3.29 4.49],[2. 2.],4.83,0.01,7.34,0.01,0.875,0.0,4.9832,0.0612,24.3583,0.5854,-4.9465,0.0603,1.8143,0.0035,0.2857,1.4097,0.0005,2.0531,0.5627,5.4111,0.8091,0.995,0.0231,0.4833,0.0871,102.9114,11.7215,0.189,0.0101
2.0,45.0,2,1.41,1.41,[3.62 7.97],[2. 2.],4.8,0.0,7.46,0.01,0.7083,0.0,4.9581,0.0486,24.4576,0.68,-4.92,0.051,1.8149,0.004,0.2851,1.4096,0.0005,2.0984,0.5889,4.9686,1.1911,0.9715,0.0293,0.5009,0.0577,103.0732,6.3455,0.1875,0.0053
2.0,45.0,3,1.41,1.41,[5.77 3.69],[2. 2.],5.39,0.0,4.82,0.01,0.1458,0.0417,5.4333,0.0309,27.4135,0.3059,-5.3986,0.0338,1.8307,0.0015,0.2693,1.4099,0.0003,1.8939,0.1755,5.4986,0.6021,1.075,0.0537,0.1266,0.1405,92.9033,14.4758,0.2137,0.0142
2.0,45.0,4,1.41,1.41,[3.82 7.37],[2. 2.],4.88,0.0,7.83,0.03,0.9792,0.0,5.0023,0.0764,23.633,0.8605,-4.9654,0.077,1.8099,0.0051,0.2901,1.4095,0.0005,2.1317,0.4764,4.8748,0.7115,0.9881,0.0276,0.5988,0.0711,96.266,7.1763,0.1793,0.0058
2.0,52.5,0,1.22,1.59,[4.66 6.67],[2. 2.],4.95,0.01,7.43,0.01,1.0,0.0,5.0738,0.0876,25.6242,0.9584,-3.8581,0.0674,1.7873,0.0059,0.3127,1.582,0.0,1.8472,0.5587,4.126,0.9105,0.7865,0.1193,0.6859,0.1365,99.1317,14.6365,0.1249,0.4064
2.0,52.5,1,1.22,1.59,[6.1  6.72],[2. 2.],4.89,0.0,9.32,0.02,1.0,0.0,5.019,0.0697,24.484,0.885,-3.8168,0.0538,1.7801,0.0058,0.3199,1.582,0.0,2.1905,0.4953,4.8985,0.6155,0.6908,0.2155,0.8557,0.3038,102.7131,25.1335,-0.0763,0.8004
2.0,52.5,2,1.22,1.59,[5.09 6.72],[2. 2.],5.08,0.01,7.04,0.04,1.0,0.0,5.2037,0.0731,26.8566,1.0773,-3.9575,0.0576,1.7945,0.0063,0.3055,1.582,0.0,2.0729,0.688,4.2717,3.0554,0.762,0.234,0.639,0.2246,102.0419,43.9783,-0.0557,0.786
